"Elapsed.Time","Heart.Rate.PulseOx1","PPG.PulseOx1","SpO2.PulseOx1","BioRadio.Event","X","ID","undetrended"
"00:00:00",511,76.7321243286133,127,0,NA,1,76.7321243286133
"00:00:00.012",511,76.7028274536133,127,0,NA,2,76.6007063388825
"00:00:00.024",511,76.6881790161133,127,0,NA,3,76.4830212593079
"00:00:00.036",511,76.6832962036133,127,0,NA,4,76.3746440410614
"00:00:00.052",511,76.6881790161133,127,0,NA,5,76.2758798599243
"00:00:00.064",511,76.7028274536133,127,0,NA,6,76.1870338916779
"00:00:00.076",511,76.7248001098633,127,0,NA,7,76.1059699058533
"00:00:00.092",511,76.7541046142578,127,0,NA,8,76.032924413681
"00:00:00.104",511,76.7858428955078,127,0,NA,9,75.9632284641266
"00:00:00.116",511,76.8102569580078,127,0,NA,10,75.8872001171112
"00:00:00.132",511,76.8175811767578,127,0,NA,11,75.7948448657989
"00:00:00.144",511,76.8102569580078,127,0,NA,12,75.6880700588226
"00:00:00.156",511,76.7956085205078,127,0,NA,13,75.5737421512604
"00:00:00.172",511,76.8126983642578,127,0,NA,14,75.4906947612762
"00:00:00.184",511,76.9347686767578,127,0,NA,15,75.5131618976593
"00:00:00.196",67,77.2765731811523,96,0,NA,16,75.7591779232025
"00:00:00.212",67,77.9650573730469,96,0,NA,17,76.3625550270081
"00:00:00.224",67,79.0759124755859,96,0,NA,18,77.4098181724548
"00:00:00.236",67,80.6091384887695,96,0,NA,19,78.9141664505005
"00:00:00.252",67,82.4524307250977,96,0,NA,20,80.7764942646027
"00:00:00.264",67,84.4202346801758,96,0,NA,21,82.8209366798401
"00:00:00.276",67,86.2879409790039,96,0,NA,22,84.8267753124237
"00:00:00.292",67,87.8626708984375,96,0,NA,23,86.5980033874512
"00:00:00.304",67,89.0125885009766,96,0,NA,24,87.9936294555664
"00:00:00.316",67,89.6864242553711,96,0,NA,25,88.9491086006165
"00:00:00.332",67,89.8939514160156,96,0,NA,26,89.4593365192413
"00:00:00.344",67,89.6888656616211,96,0,NA,27,89.5634367465973
"00:00:00.356",67,89.1541900634766,96,0,NA,28,89.3315382003785
"00:00:00.372",67,88.380256652832,96,0,NA,29,88.8436732292175
"00:00:00.384",67,87.459831237793,96,0,NA,30,88.1851308345795
"00:00:00.396",67,86.4563980102539,96,0,NA,31,87.4148173332214
"00:00:00.412",67,85.4236679077148,96,0,NA,32,86.5838496685028
"00:00:00.424",67,84.3982620239258,96,0,NA,33,85.7279334068298
"00:00:00.436",67,83.4216842651367,96,0,NA,34,84.8888013362884
"00:00:00.452",67,82.5281143188477,96,0,NA,35,84.102159023285
"00:00:00.464",67,81.7639465332031,96,0,NA,36,83.4169948101043
"00:00:00.476",67,81.1633453369141,96,0,NA,37,82.8715169429779
"00:00:00.492",67,80.7605133056641,96,0,NA,38,82.5050394535065
