Elapsed Time,Heart Rate PulseOx1,PPG PulseOx1,SpO2 PulseOx1,BioRadio Event,
00:00:00,511,87.1717376708984,127,0,
00:00:00.004,511,87.1717376708984,127,0,
00:00:00.008,511,86.2903823852539,127,0,
00:00:00.012,511,86.2903823852539,127,0,
00:00:00.016,511,86.2903823852539,127,0,
00:00:00.02,511,86.2903823852539,127,0,
00:00:00.024,511,85.3382186889648,127,0,
00:00:00.028,511,85.3382186889648,127,0,
00:00:00.032,511,85.3382186889648,127,0,
00:00:00.036,511,84.3567581176758,127,0,
00:00:00.04,511,84.3567581176758,127,0,
00:00:00.044,511,84.3567581176758,127,0,
00:00:00.048,76,83.3801803588867,98,0,
00:00:00.052,76,83.3801803588867,98,0,
00:00:00.056,76,83.3801803588867,98,0,
00:00:00.06,76,83.3801803588867,98,0,
00:00:00.064,76,82.4646377563477,98,0,
00:00:00.068,76,82.4646377563477,98,0,
00:00:00.072,76,82.4646377563477,98,0,
00:00:00.076,76,81.6540756225586,98,0,
00:00:00.08,76,81.6540756225586,98,0,
00:00:00.084,76,81.6540756225586,98,0,
00:00:00.088,76,80.9851226806641,98,0,
00:00:00.092,76,80.9851226806641,98,0,
00:00:00.096,76,80.9851226806641,98,0,
00:00:00.1,76,80.9851226806641,98,0,
00:00:00.104,76,80.4650955200195,98,0,
00:00:00.108,76,80.4650955200195,98,0,
00:00:00.112,76,80.4650955200195,98,0,
00:00:00.116,76,80.089111328125,98,0,
00:00:00.12,76,80.089111328125,98,0,
00:00:00.124,76,80.089111328125,98,0,
00:00:00.128,76,79.835205078125,98,0,
00:00:00.132,76,79.835205078125,98,0,
00:00:00.136,76,79.835205078125,98,0,
00:00:00.14,76,79.835205078125,98,0,
00:00:00.144,76,79.6716232299805,98,0,
00:00:00.148,76,79.6716232299805,98,0,
00:00:00.152,76,79.6716232299805,98,0,
00:00:00.156,76,79.5519943237305,98,0,
00:00:00.16,76,79.5519943237305,98,0,
00:00:00.164,76,79.5519943237305,98,0,
00:00:00.168,76,79.4372482299805,98,0,
00:00:00.172,76,79.4372482299805,98,0,
00:00:00.176,76,79.4372482299805,98,0,
00:00:00.18,76,79.4372482299805,98,0,
00:00:00.184,76,79.2907638549805,98,0,
00:00:00.188,76,79.2907638549805,98,0,
00:00:00.192,76,79.2907638549805,98,0,
00:00:00.196,76,79.0978851318359,98,0,
00:00:00.2,76,79.0978851318359,98,0,
00:00:00.204,76,79.0978851318359,98,0,
00:00:00.208,76,78.8488616943359,98,0,
00:00:00.212,76,78.8488616943359,98,0,
00:00:00.216,76,78.8488616943359,98,0,
00:00:00.22,76,78.8488616943359,98,0,
00:00:00.224,76,78.5461196899414,98,0,
00:00:00.228,76,78.5461196899414,98,0,
00:00:00.232,76,78.5461196899414,98,0,
00:00:00.236,76,78.1969909667969,98,0,
00:00:00.24,76,78.1969909667969,98,0,
00:00:00.244,76,78.1969909667969,98,0,
00:00:00.248,76,77.8112487792969,98,0,
00:00:00.252,76,77.8112487792969,98,0,
00:00:00.256,76,77.8112487792969,98,0,
00:00:00.26,76,77.8112487792969,98,0,
00:00:00.264,76,77.4010848999023,98,0,
00:00:00.268,76,77.4010848999023,98,0,
00:00:00.272,76,77.4010848999023,98,0,
00:00:00.276,76,76.9738311767578,98,0,
00:00:00.28,76,76.9738311767578,98,0,
00:00:00.284,76,76.9738311767578,98,0,
00:00:00.288,76,76.5416946411133,98,0,
00:00:00.292,76,76.5416946411133,98,0,
00:00:00.296,76,76.5416946411133,98,0,
00:00:00.3,76,76.5416946411133,98,0,
00:00:00.304,76,76.1119995117188,98,0,
00:00:00.308,76,76.1119995117188,98,0,
00:00:00.312,76,76.1119995117188,98,0,
00:00:00.316,76,75.6969528198242,98,0,
00:00:00.32,76,75.6969528198242,98,0,
00:00:00.324,76,75.6969528198242,98,0,
00:00:00.328,76,75.3014450073242,98,0,
00:00:00.332,76,75.3014450073242,98,0,
00:00:00.336,76,75.3014450073242,98,0,
00:00:00.34,76,75.3014450073242,98,0,
00:00:00.344,76,74.9376678466797,98,0,
00:00:00.348,76,74.9376678466797,98,0,
00:00:00.352,76,74.9376678466797,98,0,
00:00:00.356,76,74.6178359985352,98,0,
00:00:00.36,76,74.6178359985352,98,0,
00:00:00.364,76,74.6178359985352,98,0,
00:00:00.368,76,74.3443984985352,98,0,
